0.300000, 0.000000, 0.0,
0.298501, 0.029950, 0.0,
0.294020, 0.059601, 0.0,
0.286601, 0.088656, 0.0,
0.276318, 0.116826, 0.0,
0.263275, 0.143828, 0.0,
0.247601, 0.169393, 0.0,
0.229453, 0.193265, 0.0,
0.209012, 0.215207, 0.0,
0.186483, 0.234998, 0.0,
0.162091, 0.252441, 0.0,
0.136079, 0.267362, 0.0,
0.108707, 0.279612, 0.0,
0.080250, 0.289067, 0.0,
0.050990, 0.295635, 0.0,
0.021221, 0.299248, 0.0,
-0.008760, 0.299872, 0.0,
-0.038653, 0.297499, 0.0,
-0.068161, 0.292154, 0.0,
-0.096987, 0.283890, 0.0,
-0.124844, 0.272789, 0.0,
-0.151454, 0.258963, 0.0,
-0.176550, 0.242549, 0.0,
-0.199883, 0.223712, 0.0,
-0.221218, 0.202639, 0.0,
-0.240343, 0.179542, 0.0,
-0.257067, 0.154650, 0.0,
-0.271222, 0.128214, 0.0,
-0.282667, 0.100496, 0.0,
-0.291287, 0.071775, 0.0,
-0.296998, 0.042336, 0.0,
-0.299741, 0.012474, 0.0,
-0.299488, -0.017512, 0.0,
-0.296244, -0.047324, 0.0,
-0.290039, -0.076662, 0.0,
-0.280937, -0.105235, 0.0,
-0.269028, -0.132756, 0.0,
-0.254430, -0.158951, 0.0,
-0.237290, -0.183557, 0.0,
-0.217780, -0.206330, 0.0,
-0.196093, -0.227041, 0.0,
-0.172447, -0.245483, 0.0,
-0.147078, -0.261473, 0.0,
-0.120240, -0.274850, 0.0,
-0.092200, -0.285481, 0.0,
-0.063239, -0.293259, 0.0,
-0.033646, -0.298107, 0.0,
-0.003717, -0.299977, 0.0,
0.026250, -0.298849, 0.0,
0.055954, -0.294736, 0.0,
0.085099, -0.287677, 0.0,
0.113393, -0.277744, 0.0,
0.140555, -0.265036, 0.0,
0.166312, -0.249680, 0.0,
0.190408, -0.231829, 0.0,
0.212601, -0.211662, 0.0,
0.232670, -0.189380, 0.0,
0.250414, -0.165206, 0.0,
0.265656, -0.139381, 0.0,
0.278244, -0.112163, 0.0,
0.288051, -0.083825, 0.0,
0.294981, -0.054649, 0.0,
0.298963, -0.024927, 0.0,
0.300000, 0.000000, 0.0,
63.0
